uuid,task_type,question_type,query,question,options,answer,exp,other,source,medical competencies,medical disciplines,disease,symptom,procedure,equipment,drug,item,body,microbes,department,disease taboos,disease advices,level
c44fb01b-fd79-43e5-8881-9b179f6385d5,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
在医德评价的方式中，下列哪项在市场经济条件下起主要作用？（　　）
请从以下选项中选择一个答案：
A.传统习俗
B.内心信念
C.国家强制推行
D.社会舆论
E.医院领导的科学管理

请注意，请你先给出正确答案，再给出你的解释。",在医德评价的方式中，下列哪项在市场经济条件下起主要作用？（　　）,"['A.传统习俗', 'B.内心信念', 'C.国家强制推行', 'D.社会舆论', 'E.医院领导的科学管理']",B,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
1a9dc266-5898-4bdc-89d7-f8dd679d9a8e,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
下列哪项是医德修养的根本途径？（　　）
请从以下选项中选择一个答案：
A.向医德高尚的医务人员学习
B.创造一个良好的医德修养氛围
C.不断地学习医德理论知识
D.坚持在医疗卫生保健实践中修养
E.坚持有的放矢的医德修养

请注意，请你先给出正确答案，再给出你的解释。",下列哪项是医德修养的根本途径？（　　）,"['A.向医德高尚的医务人员学习', 'B.创造一个良好的医德修养氛围', 'C.不断地学习医德理论知识', 'D.坚持在医疗卫生保健实践中修养', 'E.坚持有的放矢的医德修养']",D,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
4822bebe-cdeb-49f2-8c0f-ba96d9a2da97,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
下列哪项是医务人员的共同义务和天职？（　　）
请从以下选项中选择一个答案：
A.彼此平等，相互尊重
B.相互学习，共同提高和发挥优势
C.彼此信任，相互协作和监督
D.共同维护病人的利益和社会公益
E.彼此独立，相互支持和帮助

请注意，请你先给出正确答案，再给出你的解释。",下列哪项是医务人员的共同义务和天职？（　　）,"['A.彼此平等，相互尊重', 'B.相互学习，共同提高和发挥优势', 'C.彼此信任，相互协作和监督', 'D.共同维护病人的利益和社会公益', 'E.彼此独立，相互支持和帮助']",D,,医学伦理学,MedQA,,,,,,,,,,,,,,
9c359ae6-88ad-40f4-ad9f-552a7872f602,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
在临床医学研究开始之前，必须要把研究方案提交进行审查的部门是（　　）。
请从以下选项中选择一个答案：
A.科研评定委员会
B.医院党委
C.科研处
D.伦理委员会
E.病人所在病房的领导

请注意，请你先给出正确答案，再给出你的解释。",在临床医学研究开始之前，必须要把研究方案提交进行审查的部门是（　　）。,"['A.科研评定委员会', 'B.医院党委', 'C.科研处', 'D.伦理委员会', 'E.病人所在病房的领导']",D,,医学伦理学,MedQA,,['临床医学'],,,,,,,,,['伦理委员会'],,,
ee1ec74d-568b-451d-b359-8f095a47e3fb,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
病人的自主权有效的情况是（　　）。
请从以下选项中选择一个答案：
A.自杀时
B.对他人生命造成威胁时
C.与其他病人的利益冲突时
D.患精神疾病时
E.以上都不是

请注意，请你先给出正确答案，再给出你的解释。",病人的自主权有效的情况是（　　）。,"['A.自杀时', 'B.对他人生命造成威胁时', 'C.与其他病人的利益冲突时', 'D.患精神疾病时', 'E.以上都不是']",E,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
e8a53ea7-a36d-4060-b636-6ebef1457649,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
医德评价不正确的是（　　）。
请从以下选项中选择一个答案：
A.进行医德评价不能只看行为的客观效果
B.进行医德评价的标准依据每个人不同而不同
C.医德评价是医德原则和规范转化为医务人员行为的中介和桥梁
D.医德评价的主体有两种：他人和自己
E.医德评价的方式有社会舆论、内心信念和传统习俗

请注意，请你先给出正确答案，再给出你的解释。",医德评价不正确的是（　　）。,"['A.进行医德评价不能只看行为的客观效果', 'B.进行医德评价的标准依据每个人不同而不同', 'C.医德评价是医德原则和规范转化为医务人员行为的中介和桥梁', 'D.医德评价的主体有两种：他人和自己', 'E.医德评价的方式有社会舆论、内心信念和传统习俗']",B,,医学伦理学,MedQA,['公卫法律伦理'],['公卫卫生与预防医学'],,,,,,,,,,,,
236ec581-1c43-44f9-b549-476fc69c6295,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
哪项是临床诊疗最优化原则的具体标准？（　　）
请从以下选项中选择一个答案：
A.选择设备最先进的医院治疗
B.选择学术水平最高的医院治疗
C.选择医术高明的医生治疗
D.选择最先进的医疗技术
E.痛苦最小，耗费最少，疗效最佳，安全无害

请注意，请你先给出正确答案，再给出你的解释。",哪项是临床诊疗最优化原则的具体标准？（　　）,"['A.选择设备最先进的医院治疗', 'B.选择学术水平最高的医院治疗', 'C.选择医术高明的医生治疗', 'D.选择最先进的医疗技术', 'E.痛苦最小，耗费最少，疗效最佳，安全无害']",E,,医学伦理学,MedQA,['疾病治疗'],['临床医学'],,,,,,,,,,,,
cd5fae38-3c27-467b-8a80-d1bb1952e49d,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
辅助生育技术运用的医德要求不包括（　　）。
请从以下选项中选择一个答案：
A.严格保密，实行三盲法
B.严格履行知情同意程序，尊重供受双方的意愿
C.坚持为计划生育和优生优育服务的目的，严格掌握适应症
D.坚持为大众服务的原则，任何人都可以使用
E.精心施术，确保手术安全和质量

请注意，请你先给出正确答案，再给出你的解释。",辅助生育技术运用的医德要求不包括（　　）。,"['A.严格保密，实行三盲法', 'B.严格履行知情同意程序，尊重供受双方的意愿', 'C.坚持为计划生育和优生优育服务的目的，严格掌握适应症', 'D.坚持为大众服务的原则，任何人都可以使用', 'E.精心施术，确保手术安全和质量']",D,,医学伦理学,MedQA,公卫法律伦理,临床医学,,,,,,,,,,,,
e48e605d-ea18-45ad-98a2-874a35c3ce00,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
人类基因组计划引起的伦理问题不包括（　　）。
请从以下选项中选择一个答案：
A.制造基因武器的问题
B.基因争夺和财富分配问题
C.滥用基因治疗的问题
D.环境污染和空气质量下降问题
E.基因隐私权和人的社会权利问题

请注意，请你先给出正确答案，再给出你的解释。",人类基因组计划引起的伦理问题不包括（　　）。,"['A.制造基因武器的问题', 'B.基因争夺和财富分配问题', 'C.滥用基因治疗的问题', 'D.环境污染和空气质量下降问题', 'E.基因隐私权和人的社会权利问题']",D,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
7e74a0b8-981b-4205-97f5-b68d6a2efc56,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
对待代理母亲，符合我国政府的态度和立场的是（　　）。
请从以下选项中选择一个答案：
A.有条件的开放
B.区别不同民族和年龄后禁止
C.严格禁止
D.经过申请后可以实施
E.允许通过市场交易的方式来解决

请注意，请你先给出正确答案，再给出你的解释。",对待代理母亲，符合我国政府的态度和立场的是（　　）。,"['A.有条件的开放', 'B.区别不同民族和年龄后禁止', 'C.严格禁止', 'D.经过申请后可以实施', 'E.允许通过市场交易的方式来解决']",C,,医学伦理学,MedQA,,,,,,,,,,,,,,
d8400237-5192-4dfc-ae0d-c31cb278e2af,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
医生使用药物结束一位符合安乐死条件的病人的痛苦生命，称为（　　）。
请从以下选项中选择一个答案：
A.自杀安乐死
B.医助安乐死
C.被动安乐死
D.主动安乐死
E.强迫安乐死

请注意，请你先给出正确答案，再给出你的解释。",医生使用药物结束一位符合安乐死条件的病人的痛苦生命，称为（　　）。,"['A.自杀安乐死', 'B.医助安乐死', 'C.被动安乐死', 'D.主动安乐死', 'E.强迫安乐死']",D,,医学伦理学,MedQA,"['医学基础知识', '公卫法律伦理']","['基础医学', '公卫卫生与预防医学']",,,,,,,,,,,,
f9b5ba3c-f95c-4621-a032-1d05b61f2ceb,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
医学伦理学尊重原则不包括（　　）。
请从以下选项中选择一个答案：
A.公平分配卫生资源
B.保护病人的隐私
C.尊重病人的知情同意权
D.尊重病人及家属的自主性或决定
E.保守病人的秘密

请注意，请你先给出正确答案，再给出你的解释。",医学伦理学尊重原则不包括（　　）。,"['A.公平分配卫生资源', 'B.保护病人的隐私', 'C.尊重病人的知情同意权', 'D.尊重病人及家属的自主性或决定', 'E.保守病人的秘密']",A,,医学伦理学,MedQA,['公卫法律伦理'],['公卫卫生与预防医学'],,,,,,,,,,,,
d7f7cd39-5a51-4b20-9adc-cad70d9f0931,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
关于医学伦理学的任务，错误的是（　　）。
请从以下选项中选择一个答案：
A.反映社会对医学的需求
B.为医学的发展导向
C.为符合道德的医学行为辩护
D.努力解决医学活动中产生的伦理问题
E.满足患者的所有要求和利益

请注意，请你先给出正确答案，再给出你的解释。",关于医学伦理学的任务，错误的是（　　）。,"['A.反映社会对医学的需求', 'B.为医学的发展导向', 'C.为符合道德的医学行为辩护', 'D.努力解决医学活动中产生的伦理问题', 'E.满足患者的所有要求和利益']",E,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
143de0be-0dbb-49fa-aeba-f6346623fca4,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
从伦理学上分析，生物—心理—社会医学模式取代生物医学模式在本质上反映了（　　）。
请从以下选项中选择一个答案：
A.医疗技术的进步
B.以疾病为中心的医学观念
C.医学道德的进步
D.重视人的心理健康
E.重视人的内在价值

请注意，请你先给出正确答案，再给出你的解释。",从伦理学上分析，生物—心理—社会医学模式取代生物医学模式在本质上反映了（　　）。,"['A.医疗技术的进步', 'B.以疾病为中心的医学观念', 'C.医学道德的进步', 'D.重视人的心理健康', 'E.重视人的内在价值']",C,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
e485c2a7-448e-401a-86c6-b5f747d2ac3f,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
下面关于社会主义市场经济对医学实践活动影响的表述正确的是（　　）。
请从以下选项中选择一个答案：
A.只有正面作用，没有负面作用
B.只有负面作用，没有正面作用
C.既有正面作用，也有负面影响
D.使医疗活动成为了纯商业活动
E.使医患关系恶化

请注意，请你先给出正确答案，再给出你的解释。",下面关于社会主义市场经济对医学实践活动影响的表述正确的是（　　）。,"['A.只有正面作用，没有负面作用', 'B.只有负面作用，没有正面作用', 'C.既有正面作用，也有负面影响', 'D.使医疗活动成为了纯商业活动', 'E.使医患关系恶化']",C,,医学伦理学,MedQA,,,,,,,,,,,,,,
7b3c31f1-042e-4efa-8c06-a0ab3dd766a9,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
下面关于社会主义市场经济条件下加强医德建设作用的表述，不正确的是（　　）。
请从以下选项中选择一个答案：
A.为医疗体制改革奠定基础、导引方向
B.利于解决医疗卫生单位内部的矛盾
C.利于解决医疗卫生机构与人民群众及其他单位的矛盾
D.提高医务人员的整体素质
E.杜绝医务人员的不正之风

请注意，请你先给出正确答案，再给出你的解释。",下面关于社会主义市场经济条件下加强医德建设作用的表述，不正确的是（　　）。,"['A.为医疗体制改革奠定基础、导引方向', 'B.利于解决医疗卫生单位内部的矛盾', 'C.利于解决医疗卫生机构与人民群众及其他单位的矛盾', 'D.提高医务人员的整体素质', 'E.杜绝医务人员的不正之风']",E,,医学伦理学,MedQA,,,,,,,,,,,,,,
7bdf3bbd-a1f2-47a0-a21f-16903e7bf9c0,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
关于不伤害原则，正确的是（　　）。
请从以下选项中选择一个答案：
A.此原则是绝对的，最基本的
B.临床中存在的很多对病人造成伤害的情况，有些是可以避免的
C.对病人的不伤害，只是指生理上的不伤害
D.对病人的不伤害，是指对病人心理的不伤害
E.如果不伤害原则与其他原则冲突，应该以满足不伤害原则为最终选择

请注意，请你先给出正确答案，再给出你的解释。",关于不伤害原则，正确的是（　　）。,"['A.此原则是绝对的，最基本的', 'B.临床中存在的很多对病人造成伤害的情况，有些是可以避免的', 'C.对病人的不伤害，只是指生理上的不伤害', 'D.对病人的不伤害，是指对病人心理的不伤害', 'E.如果不伤害原则与其他原则冲突，应该以满足不伤害原则为最终选择']",B,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
5af2248f-c55d-4b54-9756-3c9144f7a616,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
关于尊重原则，正确的是（　　）。
请从以下选项中选择一个答案：
A.尊重原则是指尊重那些值得尊重的人和他们的决定
B.尊重原则是指尊重所有的人和他们的决定
C.尊重原则不包括尊重那些没到法定年龄的人和他们的决定
D.尊重原则也包括尊重那些没到法定年龄的人，有时甚至还包括他们的有些决定
E.尊重原则与有利原则冲突时，绝对要以尊重原则为主

请注意，请你先给出正确答案，再给出你的解释。",关于尊重原则，正确的是（　　）。,"['A.尊重原则是指尊重那些值得尊重的人和他们的决定', 'B.尊重原则是指尊重所有的人和他们的决定', 'C.尊重原则不包括尊重那些没到法定年龄的人和他们的决定', 'D.尊重原则也包括尊重那些没到法定年龄的人，有时甚至还包括他们的有些决定', 'E.尊重原则与有利原则冲突时，绝对要以尊重原则为主']",D,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
e9ed2e16-172d-4c90-b7c5-c5ca4dd8251d,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
在下述各项中，不符合有利原则的是（　　）。
请从以下选项中选择一个答案：
A.医务人员的行动与解除病人的疾苦有关
B.医务人员的行动使病人受益而可能给别的病人带来损害
C.医务人员的行动使病人受益而会给家庭带来一定的经济负担
D.医务人员的行动可能解除病人的痛苦
E.受病人或家庭条件的限制，医务人员选择的诊治手段不是最佳的

请注意，请你先给出正确答案，再给出你的解释。",在下述各项中，不符合有利原则的是（　　）。,"['A.医务人员的行动与解除病人的疾苦有关', 'B.医务人员的行动使病人受益而可能给别的病人带来损害', 'C.医务人员的行动使病人受益而会给家庭带来一定的经济负担', 'D.医务人员的行动可能解除病人的痛苦', 'E.受病人或家庭条件的限制，医务人员选择的诊治手段不是最佳的']",B,,医学伦理学,MedQA,"['医学基础知识', '公卫法律伦理']","['基础医学', '临床医学']",,,,,,,,,,,,
7b5b53a9-13e7-4c61-aeb9-d9d50bceab23,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
公正不仅指形式上的类似，更强调公正的（　　）。
请从以下选项中选择一个答案：
A.本质
B.内容
C.基础
D.内涵
E.意义

请注意，请你先给出正确答案，再给出你的解释。",公正不仅指形式上的类似，更强调公正的（　　）。,"['A.本质', 'B.内容', 'C.基础', 'D.内涵', 'E.意义']",B,,医学伦理学,MedQA,,,,,,,,,,,,,,
6384bc81-e2c8-4b21-906d-586ded205c9a,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
医学伦理学的特征之一是（　　）。
请从以下选项中选择一个答案：
A.灵活性
B.集体性
C.继承性
D.组织性
E.非规范性

请注意，请你先给出正确答案，再给出你的解释。",医学伦理学的特征之一是（　　）。,"['A.灵活性', 'B.集体性', 'C.继承性', 'D.组织性', 'E.非规范性']",C,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
715f79b6-838a-4308-9390-fb73555e1861,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
关于道德权利，下述提法中正确的是（　　）。
请从以下选项中选择一个答案：
A.道德权利都是法律权利
B.道德权利是依法行使的权力和应享受的利益
C.道德权利是法律权利的后盾
D.道德权利与道德义务是对应的
E.道德权利是尽道德义务的前提

请注意，请你先给出正确答案，再给出你的解释。",关于道德权利，下述提法中正确的是（　　）。,"['A.道德权利都是法律权利', 'B.道德权利是依法行使的权力和应享受的利益', 'C.道德权利是法律权利的后盾', 'D.道德权利与道德义务是对应的', 'E.道德权利是尽道德义务的前提']",D,,医学伦理学,MedQA,公卫法律伦理,,,,,,,,,,,,,
221935e5-9a01-4d5f-81aa-fb955c000ac9,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
关于医德良心，下述提法中错误的是（　　）。
请从以下选项中选择一个答案：
A.医德良心是对道德情感的深化
B.医德良心是对道德责任的自觉认识
C.医德良心在行为前具有选择作用
D.医德良心在行为中具有监督作用
E.医德良心在行为后具有社会评价作用

请注意，请你先给出正确答案，再给出你的解释。",关于医德良心，下述提法中错误的是（　　）。,"['A.医德良心是对道德情感的深化', 'B.医德良心是对道德责任的自觉认识', 'C.医德良心在行为前具有选择作用', 'D.医德良心在行为中具有监督作用', 'E.医德良心在行为后具有社会评价作用']",C,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
241a881f-a9c2-4587-b902-25cc45b38c43,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
医学伦理学最古老、最有生命力的医德范畴是（　　）。
请从以下选项中选择一个答案：
A.医疗保密
B.医疗公正
C.医疗权利
D.医疗荣誉
E.医疗义务

请注意，请你先给出正确答案，再给出你的解释。",医学伦理学最古老、最有生命力的医德范畴是（　　）。,"['A.医疗保密', 'B.医疗公正', 'C.医疗权利', 'D.医疗荣誉', 'E.医疗义务']",E,,医学伦理学,MedQA,公卫法律伦理,公卫卫生与预防医学,,,,,,,,,,,,
b0bf81a8-a54c-4841-a483-d75864ac07bb,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
下列关于保密的说法中，错误的是（　　）。
请从以下选项中选择一个答案：
A.对他人和社会有害的医疗秘密不属于保密的范围
B.要求医务人员不有意探听病人的隐私
C.只有在病人提出保密的要求的情况下，医师应为患者的病史等保密
D.它是医学伦理学中最有生命力的医德范畴
E.它是医学伦理学中最古老的医德范畴

请注意，请你先给出正确答案，再给出你的解释。",下列关于保密的说法中，错误的是（　　）。,"['A.对他人和社会有害的医疗秘密不属于保密的范围', 'B.要求医务人员不有意探听病人的隐私', 'C.只有在病人提出保密的要求的情况下，医师应为患者的病史等保密', 'D.它是医学伦理学中最有生命力的医德范畴', 'E.它是医学伦理学中最古老的医德范畴']",C,,医学伦理学,MedQA,['公卫法律伦理'],['公卫卫生与预防医学'],,,,,,,,,,,,
2a656f66-cbe4-47a9-bdcf-494698a7e229,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
关于审慎，下述提法中错误的是（　　）。
请从以下选项中选择一个答案：
A.审慎是一种道德品质
B.审慎是一种处世态度
C.审慎是一种智慧表现
D.审慎与个人性格有关，是与生俱来的
E.审慎是以知识技能和冷静客观分析甚至丰富的经验为基础的

请注意，请你先给出正确答案，再给出你的解释。",关于审慎，下述提法中错误的是（　　）。,"['A.审慎是一种道德品质', 'B.审慎是一种处世态度', 'C.审慎是一种智慧表现', 'D.审慎与个人性格有关，是与生俱来的', 'E.审慎是以知识技能和冷静客观分析甚至丰富的经验为基础的']",D,,医学伦理学,MedQA,,,,,,,,,,,,,,
efdba1ff-6959-4f7f-bde0-bb3cf7ffff50,medical knowledge QA,single-choice question,"你是一个医学方面的专家，现在请你回答以下问题：
关于医患关系，错误的是（　　）。
请从以下选项中选择一个答案：
A.随着技术的进步，医患关系在很大程度上被物化了
B.医患关系的物化必然割裂了医生和患者的情感
C.医患关系已从传统的道德调整向道德调整和法律规范的过渡
D.医患关系的法制化趋势对医生的职业道德提出了越来越高的要求
E.医患之间的不协调的出现和增加在一定程度上说明了医患关系的民主化趋势

请注意，请你先给出正确答案，再给出你的解释。",关于医患关系，错误的是（　　）。,"['A.随着技术的进步，医患关系在很大程度上被物化了', 'B.医患关系的物化必然割裂了医生和患者的情感', 'C.医患关系已从传统的道德调整向道德调整和法律规范的过渡', 'D.医患关系的法制化趋势对医生的职业道德提出了越来越高的要求', 'E.医患之间的不协调的出现和增加在一定程度上说明了医患关系的民主化趋势']",B,,医学伦理学,MedQA,['公卫法律伦理'],['公卫卫生与预防医学'],,,,,,,,,,,,
